Max Martin,keyboard,S10029,CO0417,RO0044,,Yukifumi Makino,CO0639,,,,,,,,,,,,,,,,,,
Oscar Holter,keyboard,S10029,CO0471,RO0044,,Yung Exclusive,CO0640,,,,,,,,,,,,,,,,,,
The Weeknd,lyricist,S10029,CO0597,RO0049,,Zac Pennington,CO0641,,,,,,,,,,,,,,,,,,
The Weeknd,composer,S10029,CO0597,RO0019,,Zach Filkins,CO0642,,,,,,,,,,,,,,,,,,
Belly,composer,S10029,CO0053,RO0019,,Zensei,CO0643,,,,,,,,,,,,,,,,,,
Jason Quenneville,composer,S10029,CO0273,RO0019,,,,,,,,,,,,,,,,,,,,,
Max Martin,composer,S10029,CO0417,RO0019,,,,,,,,,,,,,,,,,,,,,
Oscar Holter,composer,S10029,CO0471,RO0019,,,,,,,,,,,,,,,,,,,,,
Serban Ghenea,mixingEngineer,S10029,CO0552,RO0054,,,,,,,,,,,,,,,,,,,,,
The Weeknd,drum,S10029,CO0597,RO0028,,,,,,,,,,,,,,,,,,,,,
Max Martin,drum,S10029,CO0417,RO0028,,,,,,,,,,,,,,,,,,,,,
Oscar Holter,drum,S10029,CO0471,RO0028,,,,,,,,,,,,,,,,,,,,,
Shin Kamiyama,engineer,S10029,CO0559,RO0032,,,,,,,,,,,,,,,,,,,,,
The Weeknd,leadVoice,S10029,CO0597,RO0047,,,,,,,,,,,,,,,,,,,,,
Cory Bice,assistantEngineer,S10029,CO0114,RO0006,,,,,,,,,,,,,,,,,,,,,
Jeremy Lertola,assistantEngineer,S10029,CO0283,RO0006,,,,,,,,,,,,,,,,,,,,,
Sean Klein,assistantEngineer,S10029,CO0550,RO0006,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10029,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Dave Kutch,mastering,S10029,CO0117,RO0051,,,,,,,,,,,,,,,,,,,,,
Kevin Peterson,mastering,S10029,CO0339,RO0051,,,,,,,,,,,,,,,,,,,,,
John Hanes,assistantMixingEngineer,S10029,CO0306,RO0007,,,,,,,,,,,,,,,,,,,,,
The Weeknd,producer,S10029,CO0597,RO0062,,,,,,,,,,,,,,,,,,,,,
Max Martin,producer,S10029,CO0417,RO0062,,,,,,,,,,,,,,,,,,,,,
Oscar Holter,producer,S10029,CO0471,RO0062,,,,,,,,,,,,,,,,,,,,,
The Weeknd,acousticGuitar,S10029,CO0597,RO0001,,,,,,,,,,,,,,,,,,,,,
Max Martin,acousticGuitar,S10029,CO0417,RO0001,,,,,,,,,,,,,,,,,,,,,
Oscar Holter,acousticGuitar,S10029,CO0471,RO0001,,,,,,,,,,,,,,,,,,,,,
Ligay,dataCollection,S10029,CO0367,RO0023,,,,,,,,,,,,,,,,,,,,,
Andrew Wotman,lyricist,S10030,CO0035,RO0049,,,,,,,,,,,,,,,,,,,,,
Andre Owen,rhythmGuitar,S10030,CO0030,RO0065,,,,,,,,,,,,,,,,,,,,,
Eddie Fisher,drum,S10030,CO0168,RO0028,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10030,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Anthony Peterson,mastering,S10030,CO0040,RO0051,,,,,,,,,,,,,,,,,,,,,
Alexander Deveman,mastering,S10030,CO0017,RO0051,,,,,,,,,,,,,,,,,,,,,
Eddie Fisher,percussion,S10030,CO0168,RO0059,,,,,,,,,,,,,,,,,,,,,
Ryan Lipman,assistantMixingEngineer,S10030,CO0538,RO0007,,,,,,,,,,,,,,,,,,,,,
Benjamin Portman,acousticGuitar,S10030,CO0057,RO0001,,,,,,,,,,,,,,,,,,,,,
Lin,dataCollection,S10030,CO0368,RO0023,,,,,,,,,,,,,,,,,,,,,
Ryan Zinings,bassGuitar,S10030,CO0541,RO0013,,,,,,,,,,,,,,,,,,,,,
Ryan Tedder,keyboard,S10030,CO0540,RO0044,,,,,,,,,,,,,,,,,,,,,
Ryan Tedder,composer,S10030,CO0540,RO0019,,,,,,,,,,,,,,,,,,,,,
Ali Tamposi,mixingEngineer,S10030,CO0020,RO0054,,,,,,,,,,,,,,,,,,,,,
Alessandro Lindblad,backgroundVoice,S10030,CO0010,RO0011,,,,,,,,,,,,,,,,,,,,,
Jamie Lidderdale,backgroundVoice,S10030,CO0268,RO0011,,,,,,,,,,,,,,,,,,,,,
Madison Parker,backgroundVoice,S10030,CO0376,RO0011,,,,,,,,,,,,,,,,,,,,,
Nicholas Vegas,backgroundVoice,S10030,CO0453,RO0011,,,,,,,,,,,,,,,,,,,,,
Smith Carlson,engineer,S10030,CO0565,RO0032,,,,,,,,,,,,,,,,,,,,,
Hailee Steinfeld,leadVoice,S10030,CO0221,RO0047,,,,,,,,,,,,,,,,,,,,,
Alesso Kevins,producer,S10030,CO0011,RO0062,,,,,,,,,,,,,,,,,,,,,
Brian Cinderhearts,producer,S10030,CO0074,RO0062,,,,,,,,,,,,,,,,,,,,,
Noah40Shebib,keyboard,S10031,CO0459,RO0044,,,,,,,,,,,,,,,,,,,,,
Boi-1da,lyricist,S10031,CO0070,RO0049,,,,,,,,,,,,,,,,,,,,,
Brock Korsan,lyricist,S10031,CO0079,RO0049,,,,,,,,,,,,,,,,,,,,,
Cardo,lyricist,S10031,CO0088,RO0049,,,,,,,,,,,,,,,,,,,,,
Drake,lyricist,S10031,CO0165,RO0049,,,,,,,,,,,,,,,,,,,,,
Noah40Shebib,lyricist,S10031,CO0459,RO0049,,,,,,,,,,,,,,,,,,,,,
Yung Exclusive,lyricist,S10031,CO0640,RO0049,,,,,,,,,,,,,,,,,,,,,
Noah40Shebib,additionalProducer,S10031,CO0459,RO0004,,,,,,,,,,,,,,,,,,,,,
Drake,composer,S10031,CO0165,RO0019,,,,,,,,,,,,,,,,,,,,,
Noel Campbell,mixingEngineer,S10031,CO0461,RO0054,,,,,,,,,,,,,,,,,,,,,
Drake,backgroundVoice,S10031,CO0165,RO0011,,,,,,,,,,,,,,,,,,,,,
Daveon Jackson,drum,S10031,CO0117,RO0028,,,,,,,,,,,,,,,,,,,,,
Ronald LaTour,drum,S10031,CO0530,RO0028,,,,,,,,,,,,,,,,,,,,,
Noah40Shebib,engineer,S10031,CO0459,RO0032,,,,,,,,,,,,,,,,,,,,,
Noel Cadastre,engineer,S10031,CO0460,RO0032,,,,,,,,,,,,,,,,,,,,,
Kevin Gomringer,flute,S10031,CO0338,RO0036,,,,,,,,,,,,,,,,,,,,,
Tim Gomringer,flute,S10031,CO0599,RO0036,,,,,,,,,,,,,,,,,,,,,
Drake,leadVoice,S10031,CO0165,RO0047,,,,,,,,,,,,,,,,,,,,,
Quaz,assistantEngineer,S10031,CO0503,RO0006,,,,,,,,,,,,,,,,,,,,,
Robbie Meza,assistantEngineer,S10031,CO0521,RO0006,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10031,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Boi-1da,mastering,S10031,CO0070,RO0051,,,,,,,,,,,,,,,,,,,,,
Greg Moffet,assistantMixingEngineer,S10031,CO0215,RO0007,,,,,,,,,,,,,,,,,,,,,
Harley Arsenault,assistantMixingEngineer,S10031,CO0223,RO0007,,,,,,,,,,,,,,,,,,,,,
Ronald Moono,assistantMixingEngineer,S10031,CO0531,RO0007,,,,,,,,,,,,,,,,,,,,,
Boi-1da,producer,S10031,CO0070,RO0062,,,,,,,,,,,,,,,,,,,,,
Cardo,producer,S10031,CO0088,RO0062,,,,,,,,,,,,,,,,,,,,,
Yung Exclusive,producer,S10031,CO0640,RO0062,,,,,,,,,,,,,,,,,,,,,
Luna Gonzalez,dataCollection,S10031,CO0376,RO0023,,,,,,,,,,,,,,,,,,,,,
Lee Alexander,bassGuitar,S10032,CO0356,RO0013,,,,,,,,,,,,,,,,,,,,,
Norah Jones,voice,S10032,CO0463,RO0086,,,,,,,,,,,,,,,,,,,,,
Jesse Harris,lyricist,S10032,CO0286,RO0049,,,,,,,,,,,,,,,,,,,,,
Jesse Harris,composer,S10032,CO0286,RO0019,,,,,,,,,,,,,,,,,,,,,
Arif Mardin,mixingEngineer,S10032,CO0043,RO0054,,,,,,,,,,,,,,,,,,,,,
Jay Newland,mixingEngineer,S10032,CO0276,RO0054,,,,,,,,,,,,,,,,,,,,,
Dan Rieser,drum,S10032,CO0117,RO0028,,,,,,,,,,,,,,,,,,,,,
Jay Newland,engineer,S10032,CO0276,RO0032,,,,,,,,,,,,,,,,,,,,,
Norah Jones,leadVoice,S10032,CO0463,RO0047,,,,,,,,,,,,,,,,,,,,,
Mark Birkey,assistantEngineer,S10032,CO0390,RO0006,,,,,,,,,,,,,,,,,,,,,
Norah Jones,piano,S10032,CO0463,RO0060,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10032,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Ted Jensen,mastering,S10032,CO0590,RO0051,,,,,,,,,,,,,,,,,,,,,
Arif Mardin,producer,S10032,CO0043,RO0062,,,,,,,,,,,,,,,,,,,,,
Jay Newland,producer,S10032,CO0276,RO0062,,,,,,,,,,,,,,,,,,,,,
Norah Jones,producer,S10032,CO0463,RO0062,,,,,,,,,,,,,,,,,,,,,
Jesse Harris,electricGuitar,S10032,CO0286,RO0031,,,,,,,,,,,,,,,,,,,,,
Jesse Harris,acousticGuitar,S10032,CO0286,RO0001,,,,,,,,,,,,,,,,,,,,,
Maa,dataCollection,S10032,CO0376,RO0023,,,,,,,,,,,,,,,,,,,,,
John Paul jones,bassGuitar,S10033,CO0311,RO0013,,,,,,,,,,,,,,,,,,,,,
Island Studios,studio,S10033,CO0249,RO0073,,,,,,,,,,,,,,,,,,,,,
John Paul Jones,keyboard,S10033,CO0311,RO0044,,,,,,,,,,,,,,,,,,,,,
Jimmy Page,composer,S10033,CO0293,RO0019,,,,,,,,,,,,,,,,,,,,,
Robert Plant,composer,S10033,CO0522,RO0019,,,,,,,,,,,,,,,,,,,,,
Jimmy Page,rhythmGuitar,S10033,CO0293,RO0065,,,,,,,,,,,,,,,,,,,,,
John Bonhman,drum,S10033,CO0302,RO0028,,,,,,,,,,,,,,,,,,,,,
Andy Johns,engineer,S10033,CO0037,RO0032,,,,,,,,,,,,,,,,,,,,,
Diggs,engineer,S10033,CO0117,RO0032,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10033,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Jimmy Page,producer,S10033,CO0293,RO0062,,,,,,,,,,,,,,,,,,,,,
Jimmy Page,acousticGuitar,S10033,CO0293,RO0001,,,,,,,,,,,,,,,,,,,,,
Machado De Souza,dataCollection,S10033,CO0376,RO0023,,,,,,,,,,,,,,,,,,,,,
Wesley Schultz,lyricist,S10034,CO0629,RO0049,,,,,,,,,,,,,,,,,,,,,
Jeremiah Fraites,lyricist,S10034,CO0281,RO0049,,,,,,,,,,,,,,,,,,,,,
Wesley Schultz,rhythmGuitar,S10034,CO0629,RO0065,,,,,,,,,,,,,,,,,,,,,
Jeremiah Fraites,drum,S10034,CO0281,RO0028,,,,,,,,,,,,,,,,,,,,,
Jeremiah Fraites,piano,S10034,CO0281,RO0060,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10034,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Bob Ludwig,mastering,S10034,CO0068,RO0051,,,,,,,,,,,,,,,,,,,,,
Jeremiah Fraites,percussion,S10034,CO0281,RO0059,,,,,,,,,,,,,,,,,,,,,
Simone Felice,percussion,S10034,CO0563,RO0059,,,,,,,,,,,,,,,,,,,,,
Chad Cuttill,assistantMixingEngineer,S10034,CO0092,RO0007,,,,,,,,,,,,,,,,,,,,,
Wesley Schultz,tambourine,S10034,CO0629,RO0078,,,,,,,,,,,,,,,,,,,,,
Marshment,dataCollection,S10034,CO0397,RO0023,,,,,,,,,,,,,,,,,,,,,
Ryan Hewitt,grandPiano,S10034,CO0536,RO0039,,,,,,,,,,,,,,,,,,,,,
Bryon Isaacs,bassGuitar,S10034,CO0083,RO0013,,,,,,,,,,,,,,,,,,,,,
Scott Chopps,bassGuitar,S10034,CO0545,RO0013,,,,,,,,,,,,,,,,,,,,,
Jeremiah Fraites,keyboard,S10034,CO0281,RO0044,,,,,,,,,,,,,,,,,,,,,
Wesley Schultz,composer,S10034,CO0629,RO0019,,,,,,,,,,,,,,,,,,,,,
Jeremiah Fraites,composer,S10034,CO0281,RO0019,,,,,,,,,,,,,,,,,,,,,
Ryan Hewitt,mixingEngineer,S10034,CO0536,RO0054,,,,,,,,,,,,,,,,,,,,,
Neyla Pekarek,backgroundVoice,S10034,CO0452,RO0011,,,,,,,,,,,,,,,,,,,,,
Byron Isaacs,backgroundVoice,S10034,CO0085,RO0011,,,,,,,,,,,,,,,,,,,,,
Ryan Hewitt,engineer,S10034,CO0536,RO0032,,,,,,,,,,,,,,,,,,,,,
Wesley Schultz,leadVoice,S10034,CO0629,RO0047,,,,,,,,,,,,,,,,,,,,,
Simone Felice,producer,S10034,CO0563,RO0062,,,,,,,,,,,,,,,,,,,,,
Kanye West,voice,S10035,CO0330,RO0086,,,,,,,,,,,,,,,,,,,,,
JAY-Z,voice,S10035,CO0276,RO0086,,,,,,,,,,,,,,,,,,,,,
The Record Plant,studio,S10035,CO0594,RO0073,,,,,,,,,,,,,,,,,,,,,
Sony Music Studios,studio,S10035,CO0566,RO0073,,,,,,,,,,,,,,,,,,,,,
Andy Chatterley,keyboard,S10035,CO0036,RO0044,,,,,,,,,,,,,,,,,,,,,
JAY-Z,lyricist,S10035,CO0276,RO0049,,,,,,,,,,,,,,,,,,,,,
Bernie Taupin,lyricist,S10035,CO0060,RO0049,,,,,,,,,,,,,,,,,,,,,
Elton John,lyricist,S10035,CO0173,RO0049,,,,,,,,,,,,,,,,,,,,,
Kanye West,lyricist,S10035,CO0330,RO0049,,,,,,,,,,,,,,,,,,,,,
Matt Green,engineer,S10035,CO0404,RO0032,,,,,,,,,,,,,,,,,,,,,
Nate Hertweck,engineer,S10035,CO0447,RO0032,,,,,,,,,,,,,,,,,,,,,
Jason Agel,engineer,S10035,CO0271,RO0032,,,,,,,,,,,,,,,,,,,,,
Bram Tobey,engineer,S10035,CO0072,RO0032,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10035,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Murillo,dataCollection,S10035,CO0444,RO0023,,,,,,,,,,,,,,,,,,,,,
Mike Truman,keyboard,S10036,CO0439,RO0044,,,,,,,,,,,,,,,,,,,,,
Chris Healings,keyboard,S10036,CO0103,RO0044,,,,,,,,,,,,,,,,,,,,,
Mike Truman,lyricist,S10036,CO0439,RO0049,,,,,,,,,,,,,,,,,,,,,
Chris Healings,lyricist,S10036,CO0103,RO0049,,,,,,,,,,,,,,,,,,,,,
Lee Mullin,lyricist,S10036,CO0357,RO0049,,,,,,,,,,,,,,,,,,,,,
Mike Truman,mixingEngineer,S10036,CO0439,RO0054,,,,,,,,,,,,,,,,,,,,,
Lee Mullin,drum,S10036,CO0357,RO0028,,,,,,,,,,,,,,,,,,,,,
Russian Federal Orchestra,brass,S10036,CO0535,RO0014,,,,,,,,,,,,,,,,,,,,,
Mike Truman,engineer,S10036,CO0439,RO0032,,,,,,,,,,,,,,,,,,,,,
Russian Federal Orchestra,strings,S10036,CO0535,RO0072,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10036,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Chris Healings,soundDesign,S10036,CO0103,RO0069,,,,,,,,,,,,,,,,,,,,,
Mike Truman,mastering,S10036,CO0439,RO0051,,,,,,,,,,,,,,,,,,,,,
Lee Mullin,percussion,S10036,CO0357,RO0059,,,,,,,,,,,,,,,,,,,,,
Hybrid,producer,S10036,CO0241,RO0062,,,,,,,,,,,,,,,,,,,,,
Obadia,dataCollection,S10036,CO0465,RO0023,,,,,,,,,,,,,,,,,,,,,
Ron Champagne,additionalEngineer,S10037,CO0529,RO0002,,,,,,,,,,,,,,,,,,,,,
Dave Jerden,mixingEngineer,S10037,CO0117,RO0054,,,,,,,,,,,,,,,,,,,,,
Jerry Cantrell,backgroundVoice,S10037,CO0284,RO0011,,,,,,,,,,,,,,,,,,,,,
Kevin Shuss,backgroundVoice,S10037,CO0340,RO0011,,,,,,,,,,,,,,,,,,,,,
Sean Kinney,backgroundVoice,S10037,CO0549,RO0011,,,,,,,,,,,,,,,,,,,,,
Jerry Cantrell,guitar,S10037,CO0284,RO0040,,,,,,,,,,,,,,,,,,,,,
Layne Staley,leadVoice,S10037,CO0355,RO0047,,,,,,,,,,,,,,,,,,,,,
Bob Lacivita,assistantEngineer,S10037,CO0067,RO0006,,,,,,,,,,,,,,,,,,,,,
Leslie Ann Jones,assistantEngineer,S10037,CO0365,RO0006,,,,,,,,,,,,,,,,,,,,,
Mike Starr,bass,S10037,CO0438,RO0012,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10037,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Eddy Schreyer,mastering,S10037,CO0170,RO0051,,,,,,,,,,,,,,,,,,,,,
Sean Kinney,percussion,S10037,CO0549,RO0059,,,,,,,,,,,,,,,,,,,,,
Dave Jerden,producer,S10037,CO0117,RO0062,,,,,,,,,,,,,,,,,,,,,
Onipchenko,dataCollection,S10037,CO0469,RO0023,,,,,,,,,,,,,,,,,,,,,
Jaime Preciado,bassGuitar,S10038,CO0260,RO0013,,,,,,,,,,,,,,,,,,,,,
Dave Yaden,keyboard,S10038,CO0117,RO0044,,,,,,,,,,,,,,,,,,,,,
Mike Fuentes,lyricist,S10038,CO0435,RO0049,,,,,,,,,,,,,,,,,,,,,
Vic Fuentes,lyricist,S10038,CO0623,RO0049,,,,,,,,,,,,,,,,,,,,,
Steven S Miller,lyricist,S10038,CO0579,RO0049,,,,,,,,,,,,,,,,,,,,,
Curtis Peoples,lyricist,S10038,CO0115,RO0049,,,,,,,,,,,,,,,,,,,,,
Tony Perry,lyricist,S10038,CO0611,RO0049,,,,,,,,,,,,,,,,,,,,,
Jaime Preciado,lyricist,S10038,CO0260,RO0049,,,,,,,,,,,,,,,,,,,,,
Kellin Quinn,lyricist,S10038,CO0333,RO0049,,,,,,,,,,,,,,,,,,,,,
Ralf Scheepers,composer,S10038,CO0509,RO0019,,,,,,,,,,,,,,,,,,,,,
Magnus Karlsson,composer,S10038,CO0382,RO0019,,,,,,,,,,,,,,,,,,,,,
Mat Sinner,composer,S10038,CO0401,RO0019,,,,,,,,,,,,,,,,,,,,,
Mike Fuentes,drum,S10038,CO0435,RO0028,,,,,,,,,,,,,,,,,,,,,
Brian Robbins,digitalEditing,S10038,CO0078,RO0025,,,,,,,,,,,,,,,,,,,,,
Jim Romano,digitalEditing,S10038,CO0291,RO0025,,,,,,,,,,,,,,,,,,,,,
Alex Prieto,digitalEditing,S10038,CO0013,RO0025,,,,,,,,,,,,,,,,,,,,,
Brian Robbins,engineer,S10038,CO0078,RO0032,,,,,,,,,,,,,,,,,,,,,
John Bender,engineer,S10038,CO0301,RO0032,,,,,,,,,,,,,,,,,,,,,
Jim Romano,engineer,S10038,CO0291,RO0032,,,,,,,,,,,,,,,,,,,,,
Vic Fuentes,leadVoice,S10038,CO0623,RO0047,,,,,,,,,,,,,,,,,,,,,
Kellin Quinn,leadVoice,S10038,CO0333,RO0047,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10038,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Ted Jensen,mastering,S10038,CO0590,RO0051,,,,,,,,,,,,,,,,,,,,,
Eddie Fisher,percussion,S10038,CO0168,RO0059,,,,,,,,,,,,,,,,,,,,,
Dan Korneff,producer,S10038,CO0117,RO0062,,,,,,,,,,,,,,,,,,,,,
Kato Khandwala,producer,S10038,CO0331,RO0062,,,,,,,,,,,,,,,,,,,,,
Vic Fuentes,acousticGuitar,S10038,CO0623,RO0001,,,,,,,,,,,,,,,,,,,,,
Tony Perry,acousticGuitar,S10038,CO0611,RO0001,,,,,,,,,,,,,,,,,,,,,
Orfanidis,dataCollection,S10038,CO0470,RO0023,,,,,,,,,,,,,,,,,,,,,
Damon Albarn,voice,S10039,CO0117,RO0086,,,,,,,,,,,,,,,,,,,,,
Damon Albarn,synthesizer,S10039,CO0117,RO0076,,,,,,,,,,,,,,,,,,,,,
Damon Albarn,lyricist,S10039,CO0117,RO0049,,,,,,,,,,,,,,,,,,,,,
Jason Cox,mixing,S10039,CO0272,RO0052,,,,,,,,,,,,,,,,,,,,,
Damon Albarn,loops,S10039,CO0117,RO0048,,,,,,,,,,,,,,,,,,,,,
Damon Albarn,drum,S10039,CO0117,RO0028,,,,,,,,,,,,,,,,,,,,,
Gabriel Manuals Wallace,drum,S10039,CO0198,RO0028,,,,,,,,,,,,,,,,,,,,,
Damon Albarn,guitar,S10039,CO0117,RO0040,,,,,,,,,,,,,,,,,,,,,
Jason Cox,recordingEngineer,S10039,CO0272,RO0064,,,,,,,,,,,,,,,,,,,,,
Stephen Sedgwick,recordingEngineer,S10039,CO0572,RO0064,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10039,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Howie Weinberg,mastering,S10039,CO0236,RO0051,,,,,,,,,,,,,,,,,,,,,
Gorillaz,producer,S10039,CO0210,RO0062,,,,,,,,,,,,,,,,,,,,,
Stephen Sedgwick,programming,S10039,CO0572,RO0063,,,,,,,,,,,,,,,,,,,,,
Pereira Costa,dataCollection,S10039,CO0485,RO0023,,,,,,,,,,,,,,,,,,,,,
Greg Camp,lyricist,S10040,CO0212,RO0049,,,,,,,,,,,,,,,,,,,,,
Greg Camp,rhythmGuitar,S10040,CO0212,RO0065,,,,,,,,,,,,,,,,,,,,,
Michael Urbano,drum,S10040,CO0429,RO0028,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10040,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Brian Gardner,mastering,S10040,CO0075,RO0051,,,,,,,,,,,,,,,,,,,,,
Kevin Coleman,percussion,S10040,CO0336,RO0059,,,,,,,,,,,,,,,,,,,,,
Greg Camp,acousticGuitar,S10040,CO0212,RO0001,,,,,,,,,,,,,,,,,,,,,
Pontolillo,dataCollection,S10040,CO0500,RO0023,,,,,,,,,,,,,,,,,,,,,
Paul De Lisle,bassGuitar,S10040,CO0477,RO0013,,,,,,,,,,,,,,,,,,,,,
Greg Camp,keyboard,S10040,CO0212,RO0044,,,,,,,,,,,,,,,,,,,,,
Greg Camp,composer,S10040,CO0212,RO0019,,,,,,,,,,,,,,,,,,,,,
Eric Valentine,mixingEngineer,S10040,CO0182,RO0054,,,,,,,,,,,,,,,,,,,,,
Paul De Lisle,backgroundVoice,S10040,CO0477,RO0011,,,,,,,,,,,,,,,,,,,,,
Greg Camp,backgroundVoice,S10040,CO0212,RO0011,,,,,,,,,,,,,,,,,,,,,
Trevor Adkinson,engineer,S10040,CO0614,RO0032,,,,,,,,,,,,,,,,,,,,,
Eric Valentine,engineer,S10040,CO0182,RO0032,,,,,,,,,,,,,,,,,,,,,
Steve Harwell,leadVoice,S10040,CO0574,RO0047,,,,,,,,,,,,,,,,,,,,,
Trevor Adkinson,assistantEngineer,S10040,CO0614,RO0006,,,,,,,,,,,,,,,,,,,,,
Eric Valentine,producer,S10040,CO0182,RO0062,,,,,,,,,,,,,,,,,,,,,
James Valentine,leadGuitar,S10041,CO0266,RO0046,,,,,,,,,,,,,,,,,,,,,
Adam Levine,lyricist,S10041,CO0001,RO0049,,,,,,,,,,,,,,,,,,,,,
Shellback,lyricist,S10041,CO0558,RO0049,,,,,,,,,,,,,,,,,,,,,
Benjamin Levin,lyricist,S10041,CO0056,RO0049,,,,,,,,,,,,,,,,,,,,,
Serban Ghenea,mixing,S10041,CO0552,RO0052,,,,,,,,,,,,,,,,,,,,,
Jesse Carmichael,rhythmGuitar,S10041,CO0285,RO0065,,,,,,,,,,,,,,,,,,,,,
Jesse Carmichael,keyboardAndSynthesizer,S10041,CO0285,RO0045,,,,,,,,,,,,,,,,,,,,,
PJ Morton,keyboardAndSynthesizer,S10041,CO0499,RO0045,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10041,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Matt Flynn,percussion,S10041,CO0403,RO0059,,,,,,,,,,,,,,,,,,,,,
Shellback,programming,S10041,CO0558,RO0063,,,,,,,,,,,,,,,,,,,,,
Prasanna,dataCollection,S10041,CO0502,RO0023,,,,,,,,,,,,,,,,,,,,,
Mickey Madden,bassGuitar,S10041,CO0431,RO0013,,,,,,,,,,,,,,,,,,,,,
Shellback,voiceRecording,S10041,CO0558,RO0088,,,,,,,,,,,,,,,,,,,,,
Max Martin,voiceRecording,S10041,CO0417,RO0088,,,,,,,,,,,,,,,,,,,,,
Adam Levine,composer,S10041,CO0001,RO0019,,,,,,,,,,,,,,,,,,,,,
John Hanes,mixingEngineer,S10041,CO0306,RO0054,,,,,,,,,,,,,,,,,,,,,
Shellback,backgroundVoice,S10041,CO0558,RO0011,,,,,,,,,,,,,,,,,,,,,
Noah Passovoy,engineer,S10041,CO0458,RO0032,,,,,,,,,,,,,,,,,,,,,
Adam Levine,leadVoice,S10041,CO0001,RO0047,,,,,,,,,,,,,,,,,,,,,
Eric Eylands,assistantEngineer,S10041,CO0181,RO0006,,,,,,,,,,,,,,,,,,,,,
Tim Roberts,assistantEngineer,S10041,CO0601,RO0006,,,,,,,,,,,,,,,,,,,,,
Shellback,producer,S10041,CO0558,RO0062,,,,,,,,,,,,,,,,,,,,,
Buddy Ross,keyboard,S10042,CO0084,RO0044,,,,,,,,,,,,,,,,,,,,,
Jon Brion,keyboard,S10042,CO0316,RO0044,,,,,,,,,,,,,,,,,,,,,
Malay Ho,keyboard,S10042,CO0385,RO0044,,,,,,,,,,,,,,,,,,,,,
The Influence,lyricist,S10042,CO0594,RO0049,,,,,,,,,,,,,,,,,,,,,
John Lennon,lyricist,S10042,CO0307,RO0049,,,,,,,,,,,,,,,,,,,,,
Paul McCartney,lyricist,S10042,CO0481,RO0049,,,,,,,,,,,,,,,,,,,,,
Malay,lyricist,S10042,CO0384,RO0049,,,,,,,,,,,,,,,,,,,,,
Kanye West,lyricist,S10042,CO0330,RO0049,,,,,,,,,,,,,,,,,,,,,
Frank Ocean,lyricist,S10042,CO0194,RO0049,,,,,,,,,,,,,,,,,,,,,
Frank Ocean,composer,S10042,CO0194,RO0019,,,,,,,,,,,,,,,,,,,,,
Tom Elmhirst,mixingEngineer,S10042,CO0606,RO0054,,,,,,,,,,,,,,,,,,,,,
Kanye West,backgroundVoice,S10042,CO0330,RO0011,,,,,,,,,,,,,,,,,,,,,
Sebastian Akchot??,drum,S10042,CO0550,RO0028,,,,,,,,,,,,,,,,,,,,,
Jeff Ellis,engineer,S10042,CO0278,RO0032,,,,,,,,,,,,,,,,,,,,,
Frank Ocean,leadVoice,S10042,CO0194,RO0047,,,,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10042,CO0202,RO0024,,,,,,,,,,,,,,,,,,,,,
Frank Ocean,producer,S10042,CO0194,RO0062,,,,,,,,,,,,,,,,,,,,,
Jon Brion,producer,S10042,CO0316,RO0062,,,,,,,,,,,,,,,,,,,,,
Om'Mas Keith,producer,S10042,CO0467,RO0062,,,,,,,,,,,,,,,,,,,,,
Alex Giannascoli,acousticGuitar,S10042,CO0012,RO0001,,,,,,,,,,,,,,,,,,,,,
Rabanal,dataCollection,S10042,CO0504,RO0023,,,,,,,,,,,,,,,,,,,,,
Philip Lawrence,lyricist,S10043,CO0498,RO0049,,,,,,,,,,,,,,,,,,,,,
