Alan Wilder,synthesizer,S10003,CO0008,RO0076,,Arvin Danny Jeyathasan,CO0046,,leadGuitar,RO0046,,,,,,,,,M0003,RL0019,S10044, 1974-10-11 00:00:00,EMI,Killer Queen,United Kingdom
Andrew Fletcher,synthesizer,S10003,CO0033,RO0076,,Atamnia,CO0047,,leadVoice,RO0047,,,,,,,,,M0004,RL0019,S10044, 1974-10-11 00:00:00,EMI,Killer Queen,United States
Martin L. Gore,lyricist,S10003,CO0399,RO0049,,Austin Hoke,CO0048,,loops,RO0048,,,,,,,,,M0001,RL0021,S10045, 1984-01-27 00:00:00,Epic,Counting Stars,Global
Martin L. Gore,composer,S10003,CO0399,RO0019,,Austin Richard Post,CO0049,,lyricist,RO0049,,,,,,,,,M0001,RL0017,S10046, 2013-06-19 00:00:00,Domino,Do I Wanna Know,Global
Francois Kevorkian,mixingEngineer,S10003,CO0192,RO0054,,Avery Bright,CO0050,,mandolin,RO0050,,,,,,,,,M0001,RL0006,S10047, 2014-09-24 00:00:00,Asylum,Thinking Out Loud,Global
Daniel Miller,mixingEngineer,S10003,CO0117,RO0054,,BTS,CO0051,,mastering,RO0051,,,,,,,,,M0001,RL0007,S10048, 20010-1-04 00:00:00,Big Machine,Fearless,Global
David Gahan,backgroundVoice,S10003,CO0117,RO0011,,Babin,CO0052,,mixing,RO0052,,,,,,,,,M0001,RL0023,S10049, 2020-07-10 00:00:00,Grade A Productions,Blood On My Jeans,Global
Martin Gore,backgroundVoice,S10003,CO0398,RO0011,,Belly,CO0053,,mixingAssistant,RO0053,,,,,,,,,M0001,RL0036,S10050, 2010-09-14 00:00:00,Rostrum Records,Black and Yellow,Global
Alan Wilder,backgroundVoice,S10003,CO0008,RO0011,,Ben Baptie,CO0054,,mixingEngineer,RO0054,,,,,,,,,M0001,RL0037,S10051, 1999-06-15 00:00:00,Walt Disney,You'll Be in My Heart,Global
Pino pischetola,engineer,S10003,CO0499,RO0032,,Ben McKee,CO0055,,orchestraContractor,RO0055,,,,,,,,,M0001,RL0018,S10052, 2010-07-20 00:00:00,Elektra Records,Just the Way You Are,Global
Peter Iversen,engineer,S10003,CO0489,RO0032,,Benjamin Levin,CO0056,,orchestraLeader,RO0056,,,,,,,,,M0001,RL0039,S10053, 2019-11-29 00:00:00,XO,Blinding Lights,Global
Steve Lyon,engineer,S10003,CO0577,RO0032,,Benjamin Portman,CO0057,,orchestraRecording,RO0057,,,,,,,,,M0001,RL0019,S10054, 1982-02-31 00:00:00,EMI,Eye of the Tiger,Global
Goh Hotoda,engineer,S10003,CO0209,RO0032,,Benny Blanco,CO0058,,orchestralArrangement,RO0058,,,,,,,,,M0001,RL0024,S10055, 2012-01-23 00:00:00,Hollywood Records,Give Your Heart a Break,Global
Alan Gregorie,engineer,S10003,CO0006,RO0032,,Bernie Grundman,CO0059,,percussion,RO0059,,,,,,,,,M0001,RL0003,S10056, 2001-08-13 00:00:00,American Recordings,Chop Suey!,Global
Dennis Mitchell,engineer,S10003,CO0117,RO0032,,Bernie Taupin,CO0060,,piano,RO0060,,,,,,,,,M0001,RL0010,S10057, 2019-04-12 00:00:00,BigHit Entertainment,Boy With Luv,Global
Phil Legg,engineer,S10003,CO0494,RO0032,,Bill Wolfer,CO0061,,piccolo,RO0061,,,,,,,,,,,,,,,
David Gahan,sampler,S10003,CO0117,RO0066,,Billy Steinberg,CO0062,,producer,RO0062,,,,,,,,,,,,,,,
Martin Gore,sampler,S10003,CO0398,RO0066,,Billy Walsh,CO0063,,programming,RO0063,,,,,,,,,,,,,,,
Andrew Fletcher,sampler,S10003,CO0033,RO0066,,Birdman West,CO0064,,recordingEngineer,RO0064,,,,,,,,,,,,,,,
Martin Gore,guitar,S10003,CO0398,RO0040,,Blake Espy,CO0065,,rhythmGuitar,RO0065,,,,,,,,,,,,,,,
David Gahan,leadVoice,S10003,CO0117,RO0047,,Bob Blutton,CO0066,,sampler,RO0066,,,,,,,,,,,,,,,
Daryl Bamonte,assistantEngineer,S10003,CO0117,RO0006,,Bob Lacivita,CO0067,,saxophone,RO0067,,,,,,,,,,,,,,,
Dick Meaney,assistantEngineer,S10003,CO0117,RO0006,,Bob Ludwig,CO0068,,shrutiBox,RO0068,,,,,,,,,,,,,,,
David Browne,assistantEngineer,S10003,CO0117,RO0006,,Bobbie Gordon,CO0069,,soundDesign,RO0069,,,,,,,,,,,,,,,
Mark Flannery,assistantEngineer,S10003,CO0391,RO0006,,Boi-1da,CO0070,,stringArangements,RO0070,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10003,CO0202,RO0024,,Brad Shultz,CO0071,,stringRecorder,RO0071,,,,,,,,,,,,,,,
Depeche Mode,producer,S10003,CO0117,RO0062,,Bram Tobey,CO0072,,strings,RO0072,,,,,,,,,,,,,,,
Flood,producer,S10003,CO0190,RO0062,,Brent Kutzle,CO0073,,studio,RO0073,,,,,,,,,,,,,,,
Alan Wilder,drumMachine,S10003,CO0008,RO0029,,Brian Cinderhearts,CO0074,,synclavier,RO0074,,,,,,,,,,,,,,,
Catriel,dataCollection,S10003,CO0091,RO0023,,Brian Gardner,CO0075,,synthBass,RO0075,,,,,,,,,,,,,,,
Gareth Campesinos!,lyricist,S10004,CO0201,RO0049,,Brian Lucey,CO0076,,synthesizer,RO0076,,,,,,,,,,,,,,,
Kim Campesinos!,shrutiBox,S10004,CO0344,RO0068,,Brian May,CO0077,,tackPiano,RO0077,,,,,,,,,,,,,,,
Jherek Bischoff,trombone,S10004,CO0288,RO0081,,Brian Robbins,CO0078,,tambourine,RO0078,,,,,,,,,,,,,,,
Ollie Campesinos!,drum,S10004,CO0466,RO0028,,Brock Korsan,CO0079,,timpani,RO0079,,,,,,,,,,,,,,,
Izaak Mills,saxophone,S10004,CO0252,RO0067,,Bruce Welch,CO0080,,triangle,RO0080,,,,,,,,,,,,,,,
Gareth Campesinos!,glockenspiel,S10004,CO0201,RO0037,,Bruno Mars,CO0081,,trombone,RO0081,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10004,CO0202,RO0024,,Bryce Bordone,CO0082,,trumpet,RO0082,,,,,,,,,,,,,,,
Guy Davie,mastering,S10004,CO0219,RO0051,,Bryon Isaacs,CO0083,,vibraphone,RO0083,,,,,,,,,,,,,,,
Ollie Campesinos!,percussion,S10004,CO0466,RO0059,,Buddy Ross,CO0084,,viola,RO0084,,,,,,,,,,,,,,,
Chiu,dataCollection,S10004,CO0098,RO0023,,Byron Isaacs,CO0085,,violin,RO0085,,,,,,,,,,,,,,,
Ellen Campesinos!,bassGuitar,S10004,CO0172,RO0013,,Caitilin Evanson,CO0086,,voice,RO0086,,,,,,,,,,,,,,,
Harriet Campesinos!,keyboard,S10004,CO0225,RO0044,,Cameron Montgomery,CO0087,,voiceEngineering,RO0087,,,,,,,,,,,,,,,
Harriet Campesinos!,violin,S10004,CO0225,RO0085,,Cardo,CO0088,,voiceRecording,RO0088,,,,,,,,,,,,,,,
Tom Campesinos!,composer,S10004,CO0604,RO0019,,Carl Larson,CO0089,,,,,,,,,,,,,,,,,,
John Goodmanson,mixingEngineer,S10004,CO0305,RO0054,,Carmen Rizzo,CO0090,,,,,,,,,,,,,,,,,,
Ellen Campesinos!,backgroundVoice,S10004,CO0172,RO0011,,Catriel,CO0091,,,,,,,,,,,,,,,,,,
Neil Campesinos!,backgroundVoice,S10004,CO0449,RO0011,,Chad Cuttill,CO0092,,,,,,,,,,,,,,,,,,
Tom Campesinos!,backgroundVoice,S10004,CO0604,RO0011,,Chad Smith,CO0093,,,,,,,,,,,,,,,,,,
Zac Pennington,backgroundVoice,S10004,CO0641,RO0011,,Charles Callahan,CO0094,,,,,,,,,,,,,,,,,,
Eric Corson,engineer,S10004,CO0180,RO0032,,Charles Moniz,CO0095,,,,,,,,,,,,,,,,,,
Neil Campesinos!,guitar,S10004,CO0449,RO0040,,Charlie Puth,CO0096,,,,,,,,,,,,,,,,,,
Tom Campesinos!,guitar,S10004,CO0604,RO0040,,Charlotte Matthews,CO0097,,,,,,,,,,,,,,,,,,
Aleksandra Campesinos!,leadVoice,S10004,CO0009,RO0047,,Chiu,CO0098,,,,,,,,,,,,,,,,,,
Gareth Campesinos!,leadVoice,S10004,CO0201,RO0047,,Chloe,CO0099,,,,,,,,,,,,,,,,,,
Izaak Mills,flute,S10004,CO0252,RO0036,,Chris Galland,CO0100,,,,,,,,,,,,,,,,,,
